2024-10-27 14:56:03,808 - WARNING - no more page token
2024-10-27 14:57:06,879 - WARNING - current len is : 200
2024-10-27 14:57:07,431 - WARNING - current len is : 200
2024-10-27 14:57:08,156 - WARNING - current len is : 200
2024-10-27 14:57:08,806 - WARNING - current len is : 188
2024-10-27 14:57:08,807 - WARNING - no more page token
2024-10-27 14:57:19,135 - WARNING - current len is : 200
2024-10-27 14:57:19,829 - WARNING - current len is : 200
2024-10-27 14:57:20,600 - WARNING - current len is : 200
2024-10-27 14:57:21,662 - WARNING - current len is : 188
2024-10-27 14:57:21,662 - WARNING - no more page token
2024-10-27 14:58:04,200 - WARNING - __main__ - current len is : 200
2024-10-27 14:58:04,833 - WARNING - __main__ - current len is : 200
2024-10-27 14:58:05,312 - WARNING - __main__ - current len is : 200
2024-10-27 14:58:05,981 - WARNING - __main__ - current len is : 188
2024-10-27 14:58:05,981 - WARNING - __main__ - no more page token
2024-10-27 14:58:19,218 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:58:20,216 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:58:20,899 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:58:21,666 - WARNING - ClinicalTrialsAPIClient - current len is : 188
2024-10-27 14:58:21,667 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 14:59:46,655 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:59:47,137 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:59:47,684 - WARNING - ClinicalTrialsAPIClient - current len is : 200
2024-10-27 14:59:48,248 - WARNING - ClinicalTrialsAPIClient - current len is : 188
2024-10-27 14:59:48,249 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:00:26,941 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:00:27,697 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:00:27,697 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:00:44,408 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:00:45,214 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:00:45,215 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:01:43,464 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:01:44,335 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:01:44,335 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:14:05,784 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:14:06,627 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:14:06,628 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:15:05,744 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:15:06,491 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:15:06,491 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:15:29,971 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:15:30,768 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:15:30,768 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:17:48,020 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:17:48,592 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:17:48,593 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:19:35,173 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:19:35,966 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:19:35,966 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:23:49,961 - WARNING - ClinicalTrialsAPIClient - current len is : 500
2024-10-27 15:23:51,165 - WARNING - ClinicalTrialsAPIClient - current len is : 288
2024-10-27 15:23:51,165 - WARNING - ClinicalTrialsAPIClient - no more page token
2024-10-27 15:24:33,503 - WARNING - ClinicalTrialsAPIClient - current len is : 500
